"Continent","Year","Rate"
"Africa",1990,1889.52018994742
"Africa",1991,1893.3286559523
"Africa",1992,1909.84302035745
"Africa",1993,1917.62755670659
"Africa",1994,1937.51616875647
"Africa",1995,1964.09962743611
"Africa",1996,1974.87809865255
"Africa",1997,1990.6883894137
"Africa",1998,2012.94315296716
"Africa",1999,2017.31145882404
"Africa",2000,2022.04714896719
"Africa",2001,2013.52035950877
"Africa",2002,2017.38784409336
"Africa",2003,2012.20394529678
"Africa",2004,2007.40301533499
"Africa",2005,1987.52299880952
"Africa",2006,1965.92426278091
"Africa",2007,1944.73829113534
"Africa",2008,1927.19160045196
"Africa",2009,1914.7873814463
"Africa",2010,1899.03584161372
"Africa",2011,1875.75391035131
"Africa",2012,1856.08465311257
"Africa",2013,1837.65900418192
"Africa",2014,1826.90602280865
"Africa",2015,1809.40764961517
"Africa",2016,1790.89338105865
"Africa",2017,1775.36891802246
"Africa",2018,1759.53976439644
"Africa",2019,1738.47837512117
"Asia",1990,1290.39426371959
"Asia",1991,1278.80578458962
"Asia",1992,1286.46782544843
"Asia",1993,1298.21676825233
"Asia",1994,1322.92858874833
"Asia",1995,1346.98146051715
"Asia",1996,1350.45534461849
"Asia",1997,1347.73702158535
"Asia",1998,1327.60036907342
"Asia",1999,1320.51400341925
"Asia",2000,1309.79149985855
"Asia",2001,1279.76726998072
"Asia",2002,1258.18290535313
"Asia",2003,1248.17342558683
"Asia",2004,1234.30440121242
"Asia",2005,1227.07132925622
"Asia",2006,1209.20499165113
"Asia",2007,1187.01934868023
"Asia",2008,1159.69855908018
"Asia",2009,1127.22550193364
"Asia",2010,1105.98702051466
"Asia",2011,1091.35883412844
"Asia",2012,1070.16839393729
"Asia",2013,1044.51322178617
"Asia",2014,1024.83796969379
"Asia",2015,1008.37019582266
"Asia",2016,994.623286148392
"Asia",2017,981.878368070754
"Asia",2018,976.176396444277
"Asia",2019,968.300314307869
"Europe",1990,1974.08622241717
"Europe",1991,2000.61608781689
"Europe",1992,2020.91622426757
"Europe",1993,2073.98810371704
"Europe",1994,2110.40562642729
"Europe",1995,2099.21471477614
"Europe",1996,2028.5525537974
"Europe",1997,1998.69310352641
"Europe",1998,1971.31420835432
"Europe",1999,1934.54567575683
"Europe",2000,1887.60941016554
"Europe",2001,1861.72645046526
"Europe",2002,1820.65570468358
"Europe",2003,1768.03331499856
"Europe",2004,1717.2669936522
"Europe",2005,1693.99449053772
"Europe",2006,1659.39605190588
"Europe",2007,1639.32847554513
"Europe",2008,1599.03435316717
"Europe",2009,1544.88918347635
"Europe",2010,1498.65223102877
"Europe",2011,1464.94284194681
"Europe",2012,1428.17403059977
"Europe",2013,1396.22368242562
"Europe",2014,1363.86224456747
"Europe",2015,1371.89500904196
"Europe",2016,1338.24250041444
"Europe",2017,1316.41102452289
"Europe",2018,1306.64813670707
"Europe",2019,1294.34274831057
"North America",1990,819.666916118786
"North America",1991,819.834996916371
"North America",1992,824.685592617239
"North America",1993,841.202690954295
"North America",1994,839.26404987203
"North America",1995,838.712539777315
"North America",1996,827.924429479529
"North America",1997,821.529220797583
"North America",1998,818.246615100257
"North America",1999,804.366930218603
"North America",2000,787.905295936255
"North America",2001,776.652962720781
"North America",2002,758.833165963329
"North America",2003,750.690317267158
"North America",2004,740.696554288296
"North America",2005,727.100758689715
"North America",2006,715.670719249667
"North America",2007,702.500791904218
"North America",2008,701.846177192351
"North America",2009,692.731061313176
"North America",2010,678.999616038698
"North America",2011,665.727893443342
"North America",2012,650.703325072175
"North America",2013,645.074250914324
"North America",2014,642.362016124961
"North America",2015,635.563775442586
"North America",2016,633.80435534797
"North America",2017,632.196197675785
"North America",2018,625.263234180396
"North America",2019,614.158443895507
"Oceania",1990,963.650250513498
"Oceania",1991,970.029533631101
"Oceania",1992,974.177233586278
"Oceania",1993,972.20093567707
"Oceania",1994,962.214334396447
"Oceania",1995,961.810841671188
"Oceania",1996,959.528954284377
"Oceania",1997,956.932218787308
"Oceania",1998,946.969811706289
"Oceania",1999,936.810828978549
"Oceania",2000,924.177939863994
"Oceania",2001,911.660161085602
"Oceania",2002,896.301391116887
"Oceania",2003,886.427021325708
"Oceania",2004,874.321529450075
"Oceania",2005,869.610456087632
"Oceania",2006,865.634889387307
"Oceania",2007,864.18220532033
"Oceania",2008,862.151604446572
"Oceania",2009,859.916280986108
"Oceania",2010,855.898853966514
"Oceania",2011,853.057949349271
"Oceania",2012,851.314263833409
"Oceania",2013,848.144418803592
"Oceania",2014,846.936549875
"Oceania",2015,848.102785903891
"Oceania",2016,846.930074027158
"Oceania",2017,841.170442427738
"Oceania",2018,833.635656655228
"Oceania",2019,822.962752795647
"South America",1990,364.072200844243
"South America",1991,368.249737386605
"South America",1992,370.720732995497
"South America",1993,385.320524431117
"South America",1994,380.795069017944
"South America",1995,373.024973804713
"South America",1996,376.004342755143
"South America",1997,379.547476573666
"South America",1998,395.691099919661
"South America",1999,401.22597401287
"South America",2000,385.244211756482
"South America",2001,394.961977275682
"South America",2002,404.612067103051
"South America",2003,405.727884594271
"South America",2004,405.275322207844
"South America",2005,397.21012621315
"South America",2006,397.151922286913
"South America",2007,401.788339809375
"South America",2008,401.142199253396
"South America",2009,403.303129024777
"South America",2010,405.749373180625
"South America",2011,402.912555798852
"South America",2012,400.576898732395
"South America",2013,396.327515551031
"South America",2014,393.983781963104
"South America",2015,393.981376521634
"South America",2016,394.43150512757
"South America",2017,390.950945931534
"South America",2018,384.569290949349
"South America",2019,374.888255006252
