Country,count,proportion
United States of America,515,0.526046986721144
United Kingdom,199,0.203268641470889
Australia,31,0.0316649642492339
Canada,30,0.0306435137895812
Sweden,19,0.0194075587334014
Netherlands,18,0.0183861082737487
France,16,0.0163432073544433
Indonesia,16,0.0163432073544433
Puerto Rico,16,0.0163432073544433
Germany,11,0.0112359550561798
South Korea,10,0.0102145045965271
Colombia,8,0.00817160367722165
Italy,8,0.00817160367722165
Norway,8,0.00817160367722165
Denmark,7,0.00715015321756895
Spain,7,0.00715015321756895
Jamaica,6,0.00612870275791624
Belgium,5,0.00510725229826353
Argentina,4,0.00408580183861083
Brazil,3,0.00306435137895812
Finland,3,0.00306435137895812
Mexico,3,0.00306435137895812
New Zealand,3,0.00306435137895812
Romania,3,0.00306435137895812
Austria,2,0.00204290091930541
Iceland,2,0.00204290091930541
Israel,2,0.00204290091930541
Nigeria,2,0.00204290091930541
Bahamas,1,0.00102145045965271
Barbados,1,0.00102145045965271
Barcelona,1,0.00102145045965271
British Virgin Islands,1,0.00102145045965271
Chile,1,0.00102145045965271
China,1,0.00102145045965271
Guyana,1,0.00102145045965271
Hawaii,1,0.00102145045965271
India,1,0.00102145045965271
Japan,1,0.00102145045965271
Kazakhstan,1,0.00102145045965271
Lithuania,1,0.00102145045965271
Moldova,1,0.00102145045965271
Panama,1,0.00102145045965271
Philippines,1,0.00102145045965271
Portugal,1,0.00102145045965271
Russia,1,0.00102145045965271
Saint Vincent and The Grenadines,1,0.00102145045965271
Senegal,1,0.00102145045965271
Singapore,1,0.00102145045965271
Somalia,1,0.00102145045965271
Stockholm,1,0.00102145045965271
